Model Name,Type,Processor Brand,Processor Name,Processor Generation,RAM,RAM Type,Storage Type,Storage Capacity,Graphic Processor,Screen Size,Screen Resolution,Screen Type,Weight,Dimensions,USB Port,HDMI Port,Wireless LAN,Bluetooth,Battery Cell,Battery Backup,Web Camera,Backlit Keyboard,Warranty Summary,Laptop Name,Rating,Rating/Review Count,Final price,MRP,Discount,Product URL
IdeaPad 5,2 in 1 Laptop,AMD,Ryzen 7 Octa Core,N/A,16 GB,LPDDR5X,SSD,N/A,AMD Radeon 780M,35.56 cm (14 inch),1920 x 1200 Pixels,"WUXGA, IPS, 300nits Glossy, 45% NTSC, 60Hz, TUV Low Blue Light, Glass, Touch",1.6 kg,313 x 227 x 17.9 mm,"1 x USB-A (USB 5 Gbps/USB 3.2 Gen 1), 1 x USB-A (USB 5 Gbps/USB 3.2 Gen 1), Always On, 2 x USB-C (USB 10 Gbps/USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4",1 x HDMI 1.4b,"Wi-Fi 6, 11ax 2x2",v5.3,N/A,N/A,Full HD 1080p with Privacy Shutter,N/A,1 Year Carry-in Warranty,"Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home) 14AHP9 2 in 1 Laptop  (14 inch, Luna Grey, 1.6 kg, With MS Office)",4.1,9 Ratings & 2 Reviews,"77,690","1,04,890",25% off,https://www.flipkart.com/lenovo-ideapad-5-2-in-1-wuxga-ips-amd-ryzen-7-octa-core-8845hs-16-gb-512-gb-ssd-windows-11-home-14ahp9-2-1-laptop/p/itm1795dad2ff938?pid=COMHYVZSG4BQ5FGG&lid=LSTCOMHYVZSG4BQ5FGGKQ1PZL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_774&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMHYVZSG4BQ5FGG.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
AN515-47,Gaming Laptop,AMD,Ryzen 5 Hexa Core,N/A,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,2.5 Kg,360.4 x 271.09 x 25.9/26.9,"1 x USB 3.2 Gen 1 Port, 1 x USB 3.2 Gen 2 Port with power-off charging, 1 x USB 3.2 Gen 2 Port, 1 x USB Type-C Port",1 x HDMI Port,Wi-Fi 6E Wireless LAN,v5.2,4 Cell,N/A,Narrow USB HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction,Yes,One-year International Travelers Warranty,"Acer Nitro 5 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) AN515-47 Gaming Laptop  (15.6 Inch, Obsidian Black, 2.5 Kg)",4.3,66 Ratings & 4 Reviews,"99,999",N/A,N/A,https://www.flipkart.com/acer-nitro-5-amd-ryzen-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-an515-47-gaming-laptop/p/itm6b6fadc1c8219?pid=COMGZT6ZQBZVEWCW&lid=LSTCOMGZT6ZQBZVEWCWFAKDSH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_775&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGZT6ZQBZVEWCW.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
N/A,Notebook,Intel,Core i3,11th Gen,8 GB,DDR4,Hybrid,N/A,Intel Integrated UHD,35.56 cm (14 inches),1920 x 1080 Pixels,IPS Display,1.68 Kg,328 x 236 x 19.9,"3 x USB 3.1 Gen 1 Type A, 1 x USB 3.2 Gen 2 Type C (Thunderbolt 4)",HDMI 2.0,802.11 AX WiFi 6,v5.1,3 cell,8 hours,HD Webcam,N/A,1 Year Carry in Warranty,"Acer Travelmate Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) TravelMate P214-53 Notebook  (14 inches, Black, 1.68 Kg)",4.2,73 Ratings & 7 Reviews,"30,990","60,000",48% off,https://www.flipkart.com/acer-travelmate-intel-core-i3-11th-gen-1115g4-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-p214-53-notebook/p/itma3f47c3d6ef5d?pid=COMG4PSMFX47X5DG&lid=LSTCOMG4PSMFX47X5DG2AKXJE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_776&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMG4PSMFX47X5DG.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
FA566NCR-HN054WS,Gaming Laptop,AMD,Ryzen 7 Octa Core,N/A,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9, 144Hz, 85/85/85/85, Value IPS-level, 1000:1, 250nits, 45%, 62.5%, 47.34%, Anti-glare display",2.30 Kg,359 x 256 x 24.5 mm,"1 x USB 3.2 Gen 2 Type-C support DisplayPort, 3 x USB 3.2 Gen 1 Type-A",N/A,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.3,N/A,N/A,720P HD camera,N/A,1 Year Onsite Warranty,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA566NCR-HN054WS Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 Kg, With MS Office)",4.4,"1,270 Ratings & 110 Reviews","65,890","89,990",26% off,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn054ws-laptop/p/itma4f834884f6b1?pid=COMH3ZFZSSC85WFC&lid=LSTCOMH3ZFZSSC85WFCDDKVL8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_777&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMH3ZFZSSC85WFC.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
IdeaPad Slim 5i,Laptop,Intel,Core i5,12th Gen,16 GB,LPDDR5,SSD,N/A,Intel Integrated Integrated Intel® UHD Graphics,40.64 cm (16 inch),1920 x 1200 pixel,N/A,N/A,N/A,N/A,N/A,N/A,YES,N/A,UPTO 8 HRS,N/A,N/A,1-year warranty,"Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop  (16 inch, Cloud Grey, With MS Office)",2.3,3 Ratings & 0 Reviews,"58,690","83,890",30% off,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-16iah8-laptop/p/itma68dba42368d2?pid=COMGTYDGGUKCDA8D&lid=LSTCOMGTYDGGUKCDA8D8RSTKM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_778&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGTYDGGUKCDA8D.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
TP E14 Gen 4,Thin and Light Laptop,Intel,Core i5,12th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Iris Xe,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,1.59 Kg,324 x 220.7 x 18.9 mm,"1 x USB 2.0, 1 x USB 3.2 Gen 1 (Always On), 1 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",N/A,"Wi-Fi 6 AX201, 802.11ax 2x2 Wi-Fi",v5.1,3 Cell,Upto 9.4 Hours,"HD 720p, with privacy shutter, fixed focus",N/A,1 Year Onsite Warranty,"Lenovo ThinkPad E14 Intel Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) TP E14 Gen 4 Thin and Light Laptop  (14 Inch, Black, 1.59 Kg, With MS Office)",4,21 Ratings & 2 Reviews,"70,999","1,23,000",42% off,https://www.flipkart.com/lenovo-thinkpad-e14-intel-core-i5-12th-gen-1235u-16-gb-1-tb-ssd-windows-11-home-tp-4-thin-light-laptop/p/itm3d17489527341?pid=COMGQRD7HHYZKPX4&lid=LSTCOMGQRD7HHYZKPX4Y8TQX8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_779&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGQRD7HHYZKPX4.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
V15 G3 IAP,Thin and Light Laptop,Intel,Core i3,12th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,1.7 Kg,N/A,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",1 x HDMI 1.4b,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",v5.1,2 Cell,Upto 5.3 Hours,"HD 720p, with privacy shutter, fixed focus",No,1 Year Onsite Warranty,"Lenovo Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/DOS) V15 G3 IAP Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)",4,64 Ratings & 6 Reviews,"30,000","71,400",57% off,https://www.flipkart.com/lenovo-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-dos-v15-g3-iap-thin-light-laptop/p/itm8d59a87eee8c0?pid=COMGP6GT2USDYFPR&lid=LSTCOMGP6GT2USDYFPRUQRECH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_780&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGP6GT2USDYFPR.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
IdeaPad Flex 5,Laptop,AMD,Ryzen 5 Hexa Core,8th Gen,16 GB,LPDDR4,SSD,N/A,AMD Radeon Integrated AMD Radeon™ Graphics,35.56 cm (14 inch),1920x1200 pixel,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,8 Hrs,N/A,N/A,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,"Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 8th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 Laptop  (14 inch, Arctic Grey, With MS Office)",4.2,N/A,"69,890","97,890",28% off,https://www.flipkart.com/lenovo-ideapad-flex-5-amd-ryzen-hexa-core-8th-gen-16-gb-512-gb-ssd-windows-11-home-14abr8-laptop/p/itm53fa0d9c1fdd7?pid=COMGTBBEBXFMYZEV&lid=LSTCOMGTBBEBXFMYZEVNWK0SJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_781&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGTBBEBXFMYZEV.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
N/A,Gaming Laptop,AMD,Ryzen 5 Hexa Core,N/A,8 GB,DDR4,SSD,N/A,NVIDIA GeForce GTX 1650,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD IPS Anti-glare Micro-edge WLED-backlit Display (Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC)",1.98 Kg,360 x 257 x 23.5,"1 x SuperSpeed USB Type-C 5Gbps Signaling Rate, 1 x SuperSpeed USB Type-A 5Gbps Signaling Rate, 1 x USB 2.0 Type-A (HP Sleep and Charge)",1 x HDMI 2.0,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,3 Cell,N/A,HP TrueVision 720p HD Webcam with Integrated Dual Array Digital Microphone,Yes,1 Year Onsite Warranty,"HP 15-ec1105AX AMD Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec1105AX Gaming Laptop  (15.6 inch, Shadow Black & Ultra Violet, 1.98 Kg)",4.5,"1,276 Ratings & 159 Reviews","55,900","70,172",20% off,https://www.flipkart.com/hp-15-ec1105ax-amd-ryzen-5-hexa-core-r5-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-gaming-laptop/p/itm9d7271fc0c157?pid=COMG3X8QGJMNXG3R&lid=LSTCOMG3X8QGJMNXG3RO9GEGS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_782&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMG3X8QGJMNXG3R.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
3530,Thin and Light Laptop,Intel,Core i3,13th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD WVA AG 120Hz 250 nits Narrow Border,1.65 Kg,358 x 235 x 16.9 mm,"1 x USB 2.0 port, 1 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 Type-C (data only)",N/A,"Realtek Wi-Fi 5 RTL8821CE, 1x1, 802.11ac",Yes,N/A,Upto 7 hours,HD,N/A,1 Year Onsite Warranty,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop  (15.6 inch, Titan Grey, 1.65 Kg, With MS Office)",3.6,5 Ratings & 0 Reviews,"37,490","48,529",22% off,https://www.flipkart.com/dell-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itm75c77174f31e5?pid=COMH4CGG5VEEXNNQ&lid=LSTCOMH4CGG5VEEXNNQL9I7XU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_783&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMH4CGG5VEEXNNQ.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
15IML05,Thin and Light Laptop,Intel,Core i3,10th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD TN 220nits Anti-glare,2.38 kg,362.2 x 253.4 x 19.9 mm,"1 x USB 2.0, 2 x USB 3.2 Gen 1",1 x HDMI 1.4 b,"11ac, 2x2",v5.0,N/A,Upto 11.5 hours,720p with Privacy Shutter,No,2 Years Warranty,"Lenovo IdeaPad 3 Intel Core i3 10th Gen 10110U - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 2.38 kg, With MS Office)",4.3,"4,206 Ratings & 424 Reviews","34,690","57,990",40% off,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-10th-gen-10110u-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itm6976e7038f4ba?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQG68ORK6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_784&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMG6AKVAHWTHAQG.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
Surface Laptop Go 3,Thin and Light Laptop,Intel,Core i5,12th Gen,16 GB,LPDDR5,SSD,N/A,Intel Integrated Iris Xe,31.5 cm (12.4 Inch),1536 x 1024 Pixel,LED Pixel Sense Display,1.13 Kg,278.18 x 206.17 x 15.69 mm,2 x USB,N/A,WiFi 6: 802.11ax compatible,Yes,N/A,Upto 15 Hours,Yes,No,1 Year Onsite Warranty,"MICROSOFT Laptop Go 3 Intel Core i5 12th Gen 1235U - (16 GB/256 GB SSD/Windows 11 Home) XKQ-00046 Thin and Light Laptop  (12.4 Inch, Platinum, 1.13 Kg)",4.7,(425),"1,00,999",N/A,N/A,https://www.flipkart.com/microsoft-laptop-go-3-intel-core-i5-12th-gen-1235u-16-gb-256-gb-ssd-windows-11-home-xkq-00046-thin-light/p/itm8a768fa3e5823?pid=COMGUSPBHRKASMYH&lid=LSTCOMGUSPBHRKASMYHKHCFGY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_785&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGUSPBHRKASMYH.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
KM513UA-L512WS,Thin and Light Laptop,AMD,Ryzen 5 Hexa Core,N/A,16 GB,DDR4,SSD,N/A,AMD Radeon AMD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) OLED 16:9 aspect ratio, Glossy display, 0.2ms response time, 600nits HDR peak Brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion Color depth, PANTONE Validated, 70% less harmful blue light, TUV Rheinland-certified, 85�% Screen-to-body ratio",1.80 kg,359.8 x 235.3 x 18.6 mm,"""1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A """,1 x HDMI 1.4,Wi-Fi 6(802.11ax) (Dual band) 2x2,v5.0,3 cell,N/A,720p HD camera,Yes,1 Year Onsite Warranty,"ASUS VivoBook K15 OLED AMD Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L512WS Thin and Light Laptop  (15.6 Inch, Indie Black, 1.80 kg, With MS Office)",4.4,"1,914 Ratings & 184 Reviews","63,690","80,990",21% off,https://www.flipkart.com/asus-vivobook-k15-oled-amd-ryzen-5-hexa-core-r5-5500u-16-gb-512-gb-ssd-windows-11-home-km513ua-l512ws-thin-light-laptop/p/itm8b47f9cf42813?pid=COMGHF6JY8NYFVHC&lid=LSTCOMGHF6JY8NYFVHCGOBLGU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_786&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGHF6JY8NYFVHC.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS,Thin and Light Laptop,Intel,Core i3,11th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 200nits Brightness, 83 % Screen-to-body ratio",1.80 kg,360 x 235 x 19.9 mm,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4 port,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,2 Cell,N/A,VGA camera,No,1 Year Onsite Warranty,"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",4.3,"9,034 Ratings & 763 Reviews","32,811","49,999",34% off,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-x1500ea-ej3379ws-thin-light-laptop/p/itmee696f665be05?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHL6XWUZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_787&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGA5TUCZAV4HGH.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
MacBook Air,Thin and Light Laptop,Apple,M4,N/A,16 GB,Unified Memory,SSD,N/A,NA,38.86 cm (15.3 inch),2880 x 1864 Pixel,"Liquid Retina Display, Native Resolution at 224 Pixels Per Inch, 500 Nits Brightness, Wide colour (P3)",1.51 Kg,340.4 x 237.6 x 11.5 mm,"2 x Thunderbolt 4 (USB-C) ports with support for Charging, DisplayPort, Thunderbolt 4 (up to 40 Gbps), USB 4 (up to 40 Gbps)",N/A,Wi-Fi 6E (802.11ax),v5.3,N/A,Upto 18 Hours,"12MP Center Stage Camera with Support for Desk View, 1080p HD Video Recording, Advanced Image Signal Processor with Computational Video",Yes,1 Year Limited Warranty,"Apple MacBook Air Apple M4 - (16 GB/256 GB SSD/macOS Sequoia) MW1G3HN/A  (15.3 inch, Silver, 1.51 Kg)",4,N/A,"1,24,900",N/A,N/A,https://www.flipkart.com/apple-macbook-air-m4-16-gb-256-gb-ssd-macos-sequoia-mw1g3hn-a/p/itmb072fcc9f5ed6?pid=COMH9ZWQBRTXXYVW&lid=LSTCOMH9ZWQBRTXXYVWWGXFZQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_788&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMH9ZWQBRTXXYVW.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
V14 G2-ITL,Business Laptop,Intel,Core i5,12th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated Intel Integrated,35.56 cm (14 inch),1920x1080 pixel,14,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Upto 8 Hours,N/A,No,1 Year Carry In,"Lenovo V14 Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) V14 Business Laptop  (14 inch, Black Carbon)",3.7,14 Ratings & 0 Reviews,"35,390","46,999",24% off,https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-business-laptop/p/itm26138c67d404e?pid=COMGSAZMFM73CFCT&lid=LSTCOMGSAZMFM73CFCTQKZASB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_789&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGSAZMFM73CFCT.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
XL25,Thin and Light Laptop,Intel,Core i5,11th Gen,8 GB,LPDDR4X,SSD,N/A,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"IPS FHD Display (300nits peak brightness, 100% sRGB, NTSC 72%)",1.58 Kg,N/A,2 x USB 3.0,1 x HDMI 1.4,Wi-Fi 5 (802.11ac),v 5.1,N/A,Upto 10 Hours,1080P FHD Webcam,Yes,1 Year Onsite Warranty,"Infinix INBook X2 Plus Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop  (15.6 Inch, Grey, 1.58 Kg)",4.1,372 Ratings & 66 Reviews,"54,990",N/A,N/A,https://www.flipkart.com/infinix-inbook-x2-plus-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-xl25-thin-light-laptop/p/itm0f6960b424a46?pid=COMGGQE9FUE5ZKST&lid=LSTCOMGGQE9FUE5ZKSTRA023K&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_790&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGGQE9FUE5ZKST.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
16-wd0880TX,Gaming Laptop,Intel,Core i5,13th Gen,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 4050,40.89 cm (16.1 Inch),2560 x 1440 Pixel,"Full HD, 144Hz refresh rate, IPS, micro-edge, anti-glare, Brightness: 250 nits, Color Gamut: 45% NTSC",2.32 Kg,369.0 x 259.4 x 23.9 mm,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate",1 x HDMI 2.1,Intel Wi-Fi 6E AX211 (2x2),v5.3,N/A,N/A,HP True Vision 1080p FHD IR camera,N/A,1 Year Onsite Warranty,"HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 16-wd0880TX Gaming Laptop  (16.1 Inch, Shadow Black, 2.32 Kg, With MS Office)",4.5,522 Ratings & 50 Reviews,"87,990","1,18,169",25% off,https://www.flipkart.com/hp-omen-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-16-wd0880tx-gaming-laptop/p/itmf78f7125cef63?pid=COMGRFA3FSYTP4FE&lid=LSTCOMGRFA3FSYTP4FEPMNJN3&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_791&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGRFA3FSYTP4FE.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
15ITL6,Thin and Light Laptop,Intel,Core i5,11th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Iris Xe,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,1.65 Kg,359.2 x 236.5 x 19.9 mm,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",1 x HDMI 1.4b,"Wi-Fi 6 11ax, 2x2",V5.1,N/A,Upto 12 hours,HD 720p with Privacy Shutter,Yes,2 Yr Warranty,"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 Kg, With MS Office)",4.2,"6,191 Ratings & 426 Reviews","52,499","84,998",38% off,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itmf7ba442601f89?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTTXCAWV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_33_792&otracker=browse&fm=organic&iid=02694c99-fbea-4167-9dfa-3d3b8121d506.COMGKC6Y2KA8HMFT.SEARCH&ppt=sp&ppn=sp&ssid=udyrcyvdfk0000001741525202176
